,0,1,2,3,4,5,6,7,8,9,10,11,12,13
13,jl_6912f8d657169a34,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Royal London Group,,Edinburgh,36 reviews,3.9 out of 5,"tableau,sql,r","mining,modelling,analysis,machine,mathematical","mathematics,statistics",Nurture a more data driven approach to decision making across the business by championing Analytics and Data Science....
14,jl_29d52f6b044e5bf9,permanent,data+scientist,"<span class=""date"">25 days ago</span>",Data Scientist,SoulTek,"£80,000 a year",Glasgow,,,"sql,python,r","mining,intelligence,programming,modelling,statistical,analysis,artificial,machine",None,"We are seeking an experienced Data Scientist who has a proven track record in data science, data analysis and data engineering alongside the business skills..."
15,jl_1c337ac04e47d601,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist,Durlston Partners London Limited,"£50,000 - £70,000 a year",London,,,python,"programming,statistical,analysis,research,machine,ai,mathematical","phd,bsc,statistics,msc","Clean data and build data pipelines using big-data technologies (i.e Apache Spark). Experience doing data cleaning, feature engineering, data visualisation,..."
16,jl_c8be98b859aaed20,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Data Scientist,Wallgreen Boots Alliance,,Nottingham,,,"sql,python,r","analysis,modelling","mathematics,statistics,degree",Experienced in data science techniques (e.g. Strong SQL/R/Python skills or similar and experience working with large volumes of data....
17,jl_a31294ccedf055c5,permanent,data+scientist,"<span class=""date"">17 days ago</span>",Data Scientist,AFerry,"£30,000 - £40,000 a year",Abingdon,,,"sql,python,r","programming,modelling,statistical,analysis,machine","master,degree",We are looking for an aspiring data scientist to be part of our growing data science team. If you are passionate about data and data science and want to dig...
18,jl_b694f4948b41a528,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Data Scientist Lead UK – Financial Services,Capgemini,,London,"6,077 reviews",3.8 out of 5,"java,python,r,matlab","machine,programming,modelling","mathematics,statistics","The Data Scientist & Analytics Lead will undertake a wide variety of challenging project work and help clients explore, visualise and mine their structured and..."
19,jl_7a5db9110ac22d0d,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Graduate Demand Forecasting & Usage Manager / Data Scientist,RAC Motoring Services,,Walsall,109 reviews,3.5 out of 5,"tableau,excel,r","statistical,analysis,modelling",degree,Data skills with knowledge of relational databases and ETL. Currently we are looking for a Graduate Demand Forecasting & Usage Manager / Data Scientist to join...
20,jl_a1298842fb6428e3,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Senior Data Scientist,Barclays,,London,"4,332 reviews",4 out of 5,"hadoop,r,java,sql,python,scala","modelling,statistical,analysis,machine,mathematical","mathematics,degree","Senior Data Scientist. Senior Data Scientist - 90205222. As a Senior Data Scientist, your main responsibilities will involve:...."
21,jl_024fc44d326557b3,permanent,data+scientist,"<span class=""date"">5 days ago</span>",Data Scientist,ADLIB,,Nuneaton,,,None,modelling,None,"Reporting into an extremely talented Head of Data Scientist, you’ll work as part of a close team in supporting data warehousing and storage, data cleansing,..."
22,jl_b5e23e2dc95774e9,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,A.S. Watson Group,,London,41 reviews,,"sql,python,r",analysis,None,"Are you passionate about bringing data to life, always interested in how to interpret numerical data? Superdrug, The Perfume Shop, Marionnaud and others across..."
23,jl_377077675a7a517d,permanent,data+scientist,"<span class=""date"">20 days ago</span>",Data Scientist,Defence Science and Technology Laboratory,"£25,000 - £36,000 a year",Salisbury SP4,17 reviews,2.8 out of 5,"c,java,python,c++,matlab","research,analysis,machine,modelling","phd,mathematics,msc,statistics,degree", Working with large data sets;  Large data set manipulation and analysis.  Developing and evaluating software tools and techniques for data analysis;...
24,jl_ddce70d6e7ba2b7c,permanent,data+scientist,"<span class=""date"">21 hours ago</span>",Junior Data Scientist,Harnham,"£30,000 - £35,000 a year",Kent,6 reviews,4.8 out of 5,"sql,python,r","statistical,analysis",None,"JUNIOR DATA SCIENTIST. The data science team there is known for its innovative and real-time data sets, making it a great opportunity to gain a pathway into..."
25,jl_c2311a9dc4f70eea,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Demand Forecasting & Usage Manager / Data Scientist,RAC Motoring Services,,Walsall,109 reviews,3.5 out of 5,"tableau,excel,r",statistical,None,Proven experience working as a data scientist or within a highly analytical forecasting role. Strong data skills with knowledge of relational databases and ETL....
26,jl_cb55bff1bd0c73d5,permanent,data+scientist,"<span class=""date"">21 hours ago</span>",Scientist - Hinkley,Wessex Water Services Limited,,United Kingdom,8 reviews,,None,None,degree,"This will include leading on, monitoring and analysing data trends of trade effluent levels to ensure treatment quality...."
27,jl_0fd84d77c4845eb4,permanent,data+scientist,"<span class=""date"">27 days ago</span>",Analyst / Data Scientist,"Zipcar, Inc.",,Bracknell RG12,,,"sql,python,r,oracle","statistical,analysis,programming",msc,"As the Analyst / Data Scientist, you will help us improve the way we use our many sources of data from creating visualisations to building statistical models..."
28,jl_a1cee8bad2e3528a,permanent,data+scientist,"<span class=""date"">12 days ago</span>",Senior Data Scientist,Office of Gas and Electricity Markets,"£41,200 a year",London,,,"tableau,sql,python","intelligence,modelling,statistical,analysis,machine","phd,statistics","Advanced data analysis, synthesis and data modelling skills. The Data Services Team. Trusted data models are constructed applying recognised statistical..."
29,jl_c0c69872d0adeca8,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Data Scientist,Be-IT Resourcing,,Central Belt,,,"python,r",machine,statistics,"Would you like to be the first Data Scientist to work with a fast growing science start-up in Glasgow? You just need to use your experience in data analytics,..."
30,jl_e646ba9167b4c128,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Merchant Data Scientist,Visa,,London,657 reviews,4 out of 5,"spss,tableau,hadoop,r,python,sas","statistical,mining,analysis,intelligence",None,"Merchant Data Scientist - London. Excellent understanding of data marts, data relationship concepts and data processing...."
31,jl_e8529b965a051279,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Data Scientist,Monarch IT,"£30,000 - £45,000 a year",Nottingham,,,None,"machine,modelling",None,"Data Scientist - Nottingham. Data Science, Data, Machine Learning, Analytics. Are you a data dynamo? Proven commercial background in Data Science...."
32,jl_6176a65f8cea6925,permanent,data+scientist,"<span class=""date"">10 days ago</span>",Process optimisation scientist,Wessex Water Services Limited,"£38,000 a year",Wessex,8 reviews,,None,analysis,degree,"You will need the skills to analyse process data, develop optimisation targets and assist with the development and implementation of systems to sustain..."
33,jl_d2bd9037f6fbd555,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Junior Data Scientist,Harrison Holgate,"£33,000 a year",London,,,python,"modelling,statistical,analysis,machine,mathematical",None,Job Opportunity - **Junior Data Scientist**. A Cyber InsureTech business based in the heart of the city is currently recruiting for a Junior Data Scientist to...
34,jl_2ca5114a83dd1f48,permanent,data+scientist,"<span class=""date"">18 hours ago</span>",Data Scientist - Machine Learning,Client Server,"£55,000 - £65,000 a year",London,2 reviews,5 out of 5,"python,r","machine,programming",None,Data Scientist (Machine Learning Deep Learning TensorFlow Computer Vision Python). Apply today or call to have a confidential discussion about this Data...
35,jl_a962af80000862ba,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist – (9 Month Day Rate Contract),MBN Recruitment Solutions,£500 - £550 a week,London,,,python,"ai,ml",None,They are looking for 2 Data Scientist to help augment the existing team on a 9-month contract with opportunity for extension....
36,jl_f9f871bdeecd0e1c,permanent,data+scientist,"<span class=""date"">5 hours ago</span>",Data Scientist - Python and/or R,Michael Page UK,"£40,000 - £50,000 a year",Brighton,32 reviews,3.3 out of 5,"r,c,java,python,c++","mining,programming,statistical,research,machine","phd,statistics",We have partnered together to secure two dynamic Data Scientists to join the team. We are looking for creative Data Scientists who can apply innovative Machine...
37,jl_63e4e304dfb8e5ed,permanent,data+scientist,"<span class=""date"">21 days ago</span>",Data Scientist,Aqovia Uk Ltd,"£75,000 - £90,000 a year",London,,,"hadoop,sql,python,r","statistical,machine,mathematical,programming","phd,degree","Data Scientist, BI Solutions Architect. Data sorting and data wrangling skills:. We are looking for a versatile BI Solutions Architect, Data Scientist to help..."
38,jl_8ec4de29e9a08272,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Data Scientist,Novate IT Ltd,"£40,000 - £50,000 a year",Birmingham,,,"java,python,c++,r",machine,None,"Data Scientist - Python - Birmingham. The Data Scientist joining the team will be working on commodity prediction, retail analytics and working with data..."
39,jl_4bd4c0abf7ec7da1,permanent,data+scientist,"<span class=""date"">27 days ago</span>",Data Scientist,Cathcart Associates,"£30,000 - £45,000 a year",Sheffield,,,"java,python,c++,r","research,machine,programming",None,Data Scientist - Greenfield Site - R&D Projects. Data Scientist required by an innovative start-up in Sheffield to help build the machine learning capabilities...
40,jl_5e1ae68f3ad754c5,permanent,data+scientist,"<span class=""date"">2 hours ago</span>",Data Scientist,Verticality Ltd,"£45,000 - £55,000 a year",Reading,,,python,"mining,machine",None,"Data Scientist sought by established, rapidly scaling technology software house in the Reading area. Our data Scientist lead is looking for a fellow data..."
41,jl_6d0254ab0535e5ff,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Scientist I,Mondelez International,,Reading,"2,389 reviews",4 out of 5,None,"research,analysis",degree,The role at Scientist II is to undertake a practical role with possible supervisory responsibilities within the Microscopy laboratory....
42,jl_71868ca0b082c193,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist,Harnham,"£50,000 - £60,000 a year",London,6 reviews,4.8 out of 5,None,machine,None,"Minimum of 1-2 years commercial experience as a data scientist. Your responsibilities as a Data Scientist will include, but not be limited to:...."
43,jl_535de126ef421d71,permanent,data+scientist,"<span class=""date"">10 hours ago</span>",Data Scientist,Data Team,"£55,000 - £65,000 a year",London,,,"python,r","machine,programming",degree,Data Scientist London to £65k. Data Scientist (Machine Learning Deep Learning TensorFlow Computer Vision Python)....
44,jl_cbc8d0f9c1e7ffd8,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Coller Capital,,London,,,"sql,python","statistical,research,analysis,machine","phd,mathematics,statistics,degree","As a Data Scientist at Coller Capital, you will:. The core data scientists are focusing on building new quantitative models for the investment team, conducting..."
45,jl_3ac80611b82bc00a,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Senior Data Scientist,A.S. Watson Group,,London,41 reviews,,"sql,python,r",analysis,None,"Are you passionate about bringing data to life, always interested in how to interpret numerical data? Superdrug, The Perfume Shop, Marionnaud and others across..."
46,jl_f5b971525c6fb03f,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Data Scientist | Coventry,Opus Recruitment Solutions,"£35,000 - £45,000 a year",Coventry,,,"sql,python,r","analysis,machine",None,Data Science | Data Scientist | Data Analysis | Python | R | SQL | Visualisation. Data Science | Data Scientist | Machine Learning | Data Analysis | Data...
47,jl_37579c9b37e84895,permanent,data+scientist,"<span class=""date"">4 days ago</span>",Chief Data Scientist - Start-up,Harnham,"£75,000 - £85,000 a year",London,6 reviews,4.8 out of 5,None,research,None,SALARY DETAILS - CHIEF DATA SCIENTIST. This is the opportunity to join as their Chief Data Scientist (stock options possible)....
48,jl_dbbe9bcd407c9283,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Associate Scientist I,Evotec,,Alderley Park,7 reviews,3.9 out of 5,None,"research,analysis","bsc,degree",Assist in data analysis and interpretation by applying knowledge of biochemistry and cell biology in ADMET processing....
49,jl_73b942b91c550252,permanent,data+scientist,"<span class=""date"">1 hour ago</span>",Data Scientist (General Insurance),Eames Consulting,,London,,,"python,r","mathematical,modelling",degree,"An exciting and diverse opportunity has arisen with a successful and growing consulting firm based in Central London, focusing on the delivery of effective data..."
0,jl_3becc778f10b2727,permanent,data+scientist,"<span class=""date"">2 hours ago</span>",Data Scientist,Barclays,,Glasgow,"4,332 reviews",4 out of 5,"nosql,hive,r,java,sql,python,scala","intelligence,programming,modelling,statistical,artificial,machine,ml","mathematics,statistics","Data Scientist - 90210626. Job Title – Data Scientist. Together with implementing data quality, data lineage, data governance & strategy across the corporate..."
1,jl_311f8c87f377fec1,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Graduate Data Scientist,N Brown,"£25,000 a year",Manchester M60,,,"sql,python,r,sas","ai,research,machine,ml","mathematics,statistics",What a Data Scientist will be responsible for:. Our Data Division team is a dedicated function that tackles the fundamental business challenges and...
2,jl_950a6428afc8792c,permanent,data+scientist,"<span class=""date"">10 days ago</span>",Data Scientist,Office for National Statistics,"£35,200 a year",Newport NP10,43 reviews,4.2 out of 5,None,"intelligence,statistical,analysis,artificial,research,machine","mathematics,statistics,degree",We are recruiting a Data Scientist to fill a vacancy in the Data Science Campus at the Office for National Statistics. About the Data Science Campus....
3,jl_8e7a2074815a0521,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Data Scientist,Innovative Technology Ltd,,Oldham,11 reviews,,"python,c++,r","artificial,research,machine,programming","phd,mathematics,degree","Are you an experienced Data Scientist, who’s looking to work in a fast paced, global, market leading company?..."
4,jl_a48d2101a8c79123,permanent,data+scientist,"<span class=""date"">8 days ago</span>",Senior Data Scientist,Office for National Statistics,"£47,400 a year",Newport NP10,43 reviews,4.2 out of 5,"sql,nosql,python,r","mining,intelligence,programming,modelling,statistical,analysis,artificial,research,machine","statistics,degree",As a Senior Data Scientist within the Data Science Campus you will:. As a Senior Data Scientist with the Campus you will have a passion for data science and...
5,jl_2ef1238fcfa3f7ef,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Data Scientist,Ambassador Theatre Group,"£45,000 - £55,000 a year",London,20 reviews,3.8 out of 5,"sql,r",machine,statistics,"The Data Scientist is a key role within the audience analytics team and is responsible for developing advanced analytics and visualisation applications,..."
6,jl_1c2067a43b42f93c,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Data Scientist,Inmarsat,,London,32 reviews,4.1 out of 5,python,"programming,statistical,analysis,artificial,machine,ai,ml",None,Our work analyses the masses of data gathered by our network nodes. We would like to improve how we analyse and report on our data....
7,jl_d69e84de1f1c38fc,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Saint-Gobain,,West Midlands,"2,262 reviews",4 out of 5,None,"mining,modelling","bachelor,degree",In this exciting Data Scientist role you will be responsible for uncovering company inefficiencies via data mining methods so an inquisitive mind would be...
8,jl_6ef0e4669d224598,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Data Scientist,Asset Resourcing Ltd,"£60,000 - £80,000 a year",Leeds,,,"spss,tableau,matlab,r,sql,python,qlik,sas","statistical,analysis,machine,modelling",degree,"Data Science Consultant:. Work in collaboration with several Data Science & Data Engineering teams. You will be involved in the entire Data Science lifecycle,..."
9,jl_1e7d752f9231c7f9,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist - CRM,Shop Direct,,Liverpool,225 reviews,3.9 out of 5,None,"statistical,machine,analysis,programming","phd,statistics","Our data scientists sit closely with our software engineering team (metres away!). Our data scientists sit in close proximity to your commercial stakeholders,..."
10,jl_f4b4fb6f85f5c519,permanent,data+scientist,"<span class=""date"">8 days ago</span>",CMA951 Data Scientist,Competition & Markets Authority,"£50,688 - £58,844 a year",London WC1B,3 reviews,,"python,r","machine,analysis,intelligence,artificial",degree,"As a Data Scientist in the DaTA unit, you be a key member of the team, helping to shape and deliver projects and making sure the CMA is plugged in and up-to..."
11,jl_6aef216dbb75776d,permanent,data+scientist,"<span class=""date"">16 days ago</span>",Data Scientist Analyst,Lockheed Martin Corporation,,Gloucester,"6,417 reviews",4.1 out of 5,"hadoop,hive,c","mining,intelligence,programming,statistical,analysis,artificial,research,machine,mathematical","statistics,bachelor,degree","Experience of designing efficient algorithms for data analysis, data mining, text mining, data manipulation and statistical analysis...."
12,jl_4eb6eb7f377b9215,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist (AVP),Barclays,,Northampton,"4,332 reviews",4 out of 5,"hadoop,nosql,hive,python","mining,modelling,statistical,analysis,machine",statistics,Data Scientist (AVP). Data Scientist (AVP) - 90202612. Conceptualize and quickly build POC on new product ideas - should perform either as an individual...
13,jl_6912f8d657169a34,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Royal London Group,,Edinburgh,36 reviews,3.9 out of 5,"tableau,sql,r","mining,modelling,analysis,machine,mathematical","mathematics,statistics",Nurture a more data driven approach to decision making across the business by championing Analytics and Data Science....
14,jl_29d52f6b044e5bf9,permanent,data+scientist,"<span class=""date"">25 days ago</span>",Data Scientist,SoulTek,"£80,000 a year",Glasgow,,,"sql,python,r","mining,intelligence,programming,modelling,statistical,analysis,artificial,machine",None,"We are seeking an experienced Data Scientist who has a proven track record in data science, data analysis and data engineering alongside the business skills..."
15,jl_1c337ac04e47d601,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist,Durlston Partners London Limited,"£50,000 - £70,000 a year",London,,,python,"programming,statistical,analysis,research,machine,ai,mathematical","phd,bsc,statistics,msc","Clean data and build data pipelines using big-data technologies (i.e Apache Spark). Experience doing data cleaning, feature engineering, data visualisation,..."
16,jl_c8be98b859aaed20,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Data Scientist,Wallgreen Boots Alliance,,Nottingham,,,"sql,python,r","analysis,modelling","mathematics,statistics,degree",Experienced in data science techniques (e.g. Strong SQL/R/Python skills or similar and experience working with large volumes of data....
17,jl_a31294ccedf055c5,permanent,data+scientist,"<span class=""date"">17 days ago</span>",Data Scientist,AFerry,"£30,000 - £40,000 a year",Abingdon,,,"sql,python,r","programming,modelling,statistical,analysis,machine","master,degree",We are looking for an aspiring data scientist to be part of our growing data science team. If you are passionate about data and data science and want to dig...
18,jl_b694f4948b41a528,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Data Scientist Lead UK – Financial Services,Capgemini,,London,"6,077 reviews",3.8 out of 5,"java,python,r,matlab","machine,programming,modelling","mathematics,statistics","The Data Scientist & Analytics Lead will undertake a wide variety of challenging project work and help clients explore, visualise and mine their structured and..."
19,jl_7a5db9110ac22d0d,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Graduate Demand Forecasting & Usage Manager / Data Scientist,RAC Motoring Services,,Walsall,109 reviews,3.5 out of 5,"tableau,excel,r","statistical,analysis,modelling",degree,Data skills with knowledge of relational databases and ETL. Currently we are looking for a Graduate Demand Forecasting & Usage Manager / Data Scientist to join...
20,jl_a1298842fb6428e3,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Senior Data Scientist,Barclays,,London,"4,332 reviews",4 out of 5,"hadoop,r,java,sql,python,scala","modelling,statistical,analysis,machine,mathematical","mathematics,degree","Senior Data Scientist. Senior Data Scientist - 90205222. As a Senior Data Scientist, your main responsibilities will involve:...."
21,jl_024fc44d326557b3,permanent,data+scientist,"<span class=""date"">5 days ago</span>",Data Scientist,ADLIB,,Nuneaton,,,None,modelling,None,"Reporting into an extremely talented Head of Data Scientist, you’ll work as part of a close team in supporting data warehousing and storage, data cleansing,..."
22,jl_b5e23e2dc95774e9,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,A.S. Watson Group,,London,41 reviews,,"sql,python,r",analysis,None,"Are you passionate about bringing data to life, always interested in how to interpret numerical data? Superdrug, The Perfume Shop, Marionnaud and others across..."
23,jl_377077675a7a517d,permanent,data+scientist,"<span class=""date"">20 days ago</span>",Data Scientist,Defence Science and Technology Laboratory,"£25,000 - £36,000 a year",Salisbury SP4,17 reviews,2.8 out of 5,"c,java,python,c++,matlab","research,analysis,machine,modelling","phd,mathematics,msc,statistics,degree", Working with large data sets;  Large data set manipulation and analysis.  Developing and evaluating software tools and techniques for data analysis;...
24,jl_ddce70d6e7ba2b7c,permanent,data+scientist,"<span class=""date"">21 hours ago</span>",Junior Data Scientist,Harnham,"£30,000 - £35,000 a year",Kent,6 reviews,4.8 out of 5,"sql,python,r","statistical,analysis",None,"JUNIOR DATA SCIENTIST. The data science team there is known for its innovative and real-time data sets, making it a great opportunity to gain a pathway into..."
25,jl_c2311a9dc4f70eea,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Demand Forecasting & Usage Manager / Data Scientist,RAC Motoring Services,,Walsall,109 reviews,3.5 out of 5,"tableau,excel,r",statistical,None,Proven experience working as a data scientist or within a highly analytical forecasting role. Strong data skills with knowledge of relational databases and ETL....
26,jl_cb55bff1bd0c73d5,permanent,data+scientist,"<span class=""date"">21 hours ago</span>",Scientist - Hinkley,Wessex Water Services Limited,,United Kingdom,8 reviews,,None,None,degree,"This will include leading on, monitoring and analysing data trends of trade effluent levels to ensure treatment quality...."
27,jl_0fd84d77c4845eb4,permanent,data+scientist,"<span class=""date"">27 days ago</span>",Analyst / Data Scientist,"Zipcar, Inc.",,Bracknell RG12,,,"sql,python,r,oracle","statistical,analysis,programming",msc,"As the Analyst / Data Scientist, you will help us improve the way we use our many sources of data from creating visualisations to building statistical models..."
28,jl_a1cee8bad2e3528a,permanent,data+scientist,"<span class=""date"">12 days ago</span>",Senior Data Scientist,Office of Gas and Electricity Markets,"£41,200 a year",London,,,"tableau,sql,python","intelligence,modelling,statistical,analysis,machine","phd,statistics","Advanced data analysis, synthesis and data modelling skills. The Data Services Team. Trusted data models are constructed applying recognised statistical..."
29,jl_c0c69872d0adeca8,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Data Scientist,Be-IT Resourcing,,Central Belt,,,"python,r",machine,statistics,"Would you like to be the first Data Scientist to work with a fast growing science start-up in Glasgow? You just need to use your experience in data analytics,..."
30,jl_e646ba9167b4c128,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Merchant Data Scientist,Visa,,London,657 reviews,4 out of 5,"spss,tableau,hadoop,r,python,sas","statistical,mining,analysis,intelligence",None,"Merchant Data Scientist - London. Excellent understanding of data marts, data relationship concepts and data processing...."
31,jl_e8529b965a051279,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Data Scientist,Monarch IT,"£30,000 - £45,000 a year",Nottingham,,,None,"machine,modelling",None,"Data Scientist - Nottingham. Data Science, Data, Machine Learning, Analytics. Are you a data dynamo? Proven commercial background in Data Science...."
32,jl_6176a65f8cea6925,permanent,data+scientist,"<span class=""date"">10 days ago</span>",Process optimisation scientist,Wessex Water Services Limited,"£38,000 a year",Wessex,8 reviews,,None,analysis,degree,"You will need the skills to analyse process data, develop optimisation targets and assist with the development and implementation of systems to sustain..."
33,jl_d2bd9037f6fbd555,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Junior Data Scientist,Harrison Holgate,"£33,000 a year",London,,,python,"modelling,statistical,analysis,machine,mathematical",None,Job Opportunity - **Junior Data Scientist**. A Cyber InsureTech business based in the heart of the city is currently recruiting for a Junior Data Scientist to...
34,jl_2ca5114a83dd1f48,permanent,data+scientist,"<span class=""date"">18 hours ago</span>",Data Scientist - Machine Learning,Client Server,"£55,000 - £65,000 a year",London,2 reviews,5 out of 5,"python,r","machine,programming",None,Data Scientist (Machine Learning Deep Learning TensorFlow Computer Vision Python). Apply today or call to have a confidential discussion about this Data...
35,jl_a962af80000862ba,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist – (9 Month Day Rate Contract),MBN Recruitment Solutions,£500 - £550 a week,London,,,python,"ai,ml",None,They are looking for 2 Data Scientist to help augment the existing team on a 9-month contract with opportunity for extension....
