MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Same_Condition,Same_exterior,Bsmt_per_sf_done,low_qual_per,total_rm,total_deck_porch,age,age_remodel,OverallScore,ExterScore,BsmtScore,GarageScore,YrMon,log_sale_price
RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,CompShg,HdBoard,None,0.0,CBlock,No,Rec,Unf,134,GasA,3,Y,SBrkr,1040,1,TA,Typ,0,0,Detchd,1965.0,Unf,1,384,Y,0,0,2,2008,WD,Normal,True,True,0.8711538461538462,0.0,7.0,0,43,43,2.0,2.0,2.0,2.0,2008-02-01,11.771436160121729
RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Hip,CompShg,WdShing,Stone,286.0,PConc,No,GLQ,Unf,177,GasA,3,Y,SBrkr,2324,1,Ex,Typ,2,3,BuiltIn,2005.0,Fin,3,736,Y,0,0,7,2006,New,Partial,True,False,0.8493617021276596,0.0,15.0,168,1,0,2.5,2.5,2.5,2.0,2006-07-01,12.751299696013497
RL,69.79733110925771,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,CompShg,HdBoard,None,0.0,CBlock,No,ALQ,Unf,175,GasA,2,Y,SBrkr,912,1,TA,Typ,0,0,Detchd,1962.0,Unf,1,352,Y,0,0,9,2008,WD,Normal,True,False,0.8081140350877193,0.0,6.0,316,46,46,2.0,2.0,2.0,2.0,2008-09-01,11.877568578558138
RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Stone,306.0,PConc,Av,Unf,Unf,1494,GasA,3,Y,SBrkr,1494,1,Gd,Typ,1,3,Attchd,2006.0,RFn,3,840,Y,0,0,8,2007,New,Partial,True,True,0.0,0.0,9.0,193,1,0,2.5,2.5,2.5,2.0,2007-08-01,12.540757571577291
RL,69.79733110925771,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,MetalSd,BrkFace,212.0,CBlock,No,BLQ,Unf,520,GasA,2,Y,SBrkr,1253,1,TA,Typ,1,2,Attchd,1960.0,RFn,1,352,Y,0,0,5,2008,WD,Normal,True,True,0.5849960095770151,0.0,7.5,389,48,48,2.0,2.0,2.0,2.0,2008-05-01,11.964001084330445
RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,None,0.0,BrkTil,No,Unf,Unf,832,GasA,3,Y,FuseA,854,1,TA,Typ,0,0,Detchd,1991.0,Unf,2,576,Y,0,0,7,2007,WD,Normal,True,True,0.0,0.0,6.0,160,78,6,3.0,2.0,2.0,2.0,2007-07-01,11.790557201568507
RL,69.79733110925771,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,BrkFace,180.0,CBlock,No,ALQ,Unf,426,GasA,3,Y,SBrkr,1004,1,TA,Typ,1,2,Attchd,1970.0,Fin,2,480,Y,0,700,3,2010,WD,Normal,True,True,0.5756972111553785,0.0,7.0,0,40,40,2.5,2.0,2.0,2.0,2010-03-01,11.911701584927597
RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,PConc,No,GLQ,Unf,468,GasA,3,Y,SBrkr,1114,1,Gd,Typ,0,0,Detchd,2004.0,Unf,2,576,Y,0,0,6,2008,WD,Normal,False,True,0.5798922800718133,0.0,8.5,102,4,4,2.0,2.0,2.0,2.0,2008-06-01,11.976659481202368
RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,BrkFace,None,0.0,CBlock,No,LwQ,Unf,525,GasA,2,Y,SBrkr,1339,1,TA,Min1,0,0,Attchd,1958.0,Unf,1,294,Y,0,0,5,2009,COD,Abnorml,True,False,0.4897959183673469,0.0,7.0,0,51,44,2.0,2.0,2.0,2.0,2009-05-01,11.842229212112828
RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,BrkFace,380.0,PConc,Av,Unf,Unf,1158,GasA,3,Y,SBrkr,2376,1,Gd,Typ,1,3,BuiltIn,2005.0,RFn,3,853,Y,0,0,11,2006,New,Partial,True,True,0.0,0.0,12.5,394,1,0,2.5,2.5,2.5,2.0,2006-11-01,12.692503112461443
RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,None,0.0,PConc,No,Unf,Unf,637,GasA,3,Y,FuseF,1108,1,Gd,Typ,1,3,Attchd,1930.0,Unf,1,280,N,0,0,6,2007,WD,Normal,True,True,0.0,0.0,7.0,205,77,57,3.0,2.0,2.0,2.0,2007-06-01,11.845102777308561
RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Hip,CompShg,VinylSd,BrkFace,281.0,PConc,No,Unf,Unf,1777,GasA,3,Y,SBrkr,1795,1,Gd,Typ,1,3,Attchd,2002.0,RFn,2,534,Y,0,0,9,2008,WD,Normal,True,True,0.0,0.0,9.0,330,6,6,2.5,2.5,2.5,2.0,2008-09-01,12.345834587905333
RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,None,0.0,PConc,No,GLQ,Unf,200,GasA,2,Y,SBrkr,1060,1,TA,Typ,1,2,Attchd,1976.0,Unf,2,572,Y,0,0,6,2007,WD,Normal,True,False,0.8076923076923077,0.0,8.0,210,31,31,2.5,2.0,2.5,2.0,2007-06-01,11.77452020265869
RL,69.79733110925771,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,CompShg,Plywood,None,0.0,CBlock,Mn,Rec,ALQ,204,GasA,3,Y,SBrkr,1060,1,Gd,Typ,1,2,Attchd,1968.0,Unf,1,270,Y,0,0,5,2010,WD,Normal,True,True,0.8075471698113208,0.0,8.0,496,42,9,2.5,2.5,2.0,2.0,2010-05-01,11.944707881395766
RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Stone,640.0,PConc,No,Unf,Unf,1566,GasA,3,Y,SBrkr,1600,1,Gd,Typ,1,3,Attchd,2007.0,RFn,3,890,Y,0,0,7,2009,WD,Normal,True,True,0.0,0.0,9.0,56,2,2,2.5,2.5,2.5,2.0,2009-07-01,12.454103912352162
RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,None,0.0,CBlock,Mn,BLQ,Rec,180,GasA,2,Y,SBrkr,900,1,Gd,Typ,0,0,Detchd,2005.0,Unf,2,576,Y,0,0,5,2010,WD,Normal,True,True,0.8,0.0,6.5,254,59,10,2.5,2.0,2.0,2.0,2010-05-01,11.811547477460344
RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Stone,200.0,PConc,No,GLQ,Unf,486,GasA,3,Y,SBrkr,1704,1,Gd,Typ,1,3,Attchd,2008.0,RFn,3,772,Y,0,0,5,2010,WD,Normal,True,True,0.7147887323943662,0.0,10.0,50,3,2,2.5,2.5,2.5,2.0,2010-05-01,12.631340380934517
RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,MetalSd,None,0.0,CBlock,Gd,BLQ,Unf,207,GasA,2,Y,SBrkr,1600,1,TA,Typ,2,3,Attchd,1957.0,RFn,1,319,Y,0,0,12,2006,WD,Normal,True,True,0.860512129380054,0.0,8.0,546,49,9,2.0,2.0,2.0,2.0,2006-12-01,12.24288661865289
RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,Gable,CompShg,MetalSd,None,0.0,BrkTil,No,Unf,Unf,520,GasA,2,N,SBrkr,520,1,Fa,Typ,0,0,Detchd,1920.0,Unf,1,240,Y,0,0,5,2008,WD,Normal,False,True,0.0,0.0,5.0,136,81,58,2.0,2.0,2.0,2.0,2008-05-01,11.134589024250317
C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,Gambrel,CompShg,BrkFace,None,0.0,BrkTil,No,Unf,Unf,649,GasA,2,N,SBrkr,1317,1,TA,Typ,0,0,Detchd,1920.0,Unf,1,250,N,0,0,7,2008,WD,Normal,False,True,0.0,0.0,7.0,226,88,58,2.0,2.0,2.0,2.0,2008-07-01,10.596634733096073
RL,69.79733110925771,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,Gable,CompShg,HdBoard,None,0.0,CBlock,No,Unf,Unf,1228,GasA,3,Y,SBrkr,1228,1,Gd,Typ,0,0,Attchd,1966.0,Unf,1,271,Y,0,0,6,2008,WD,Normal,True,True,0.0,0.0,7.5,65,42,2,2.0,2.0,2.0,2.0,2008-06-01,11.914047823644255
RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,PConc,Av,Unf,Unf,1234,GasA,3,Y,SBrkr,1234,1,Gd,Typ,0,0,Attchd,2007.0,RFn,2,484,Y,0,0,1,2008,WD,Normal,True,True,0.0,0.0,9.0,30,1,1,2.5,2.5,2.5,2.0,2008-01-01,12.100156419938624
RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,BrkFace,None,0.0,CBlock,No,Rec,Unf,380,GasA,3,Y,SBrkr,1700,1,Gd,Typ,1,3,Attchd,1959.0,RFn,2,447,Y,0,0,4,2010,WD,Normal,True,True,0.7281831187410587,0.0,8.0,38,51,51,2.0,2.0,2.0,2.0,2010-04-01,12.016726473799254
RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,BrkFace,246.0,PConc,No,GLQ,Unf,408,GasA,3,Y,SBrkr,1561,1,Ex,Typ,1,3,Attchd,2005.0,Fin,2,556,Y,0,0,8,2007,WD,Normal,True,True,0.7386290839205637,0.0,9.0,250,2,2,2.5,2.5,2.5,2.0,2007-08-01,12.533576212168626
RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,Stone,132.0,PConc,Av,Unf,Unf,1117,GasA,3,Y,SBrkr,2452,1,Gd,Typ,1,3,BuiltIn,2004.0,Fin,3,691,Y,0,0,9,2006,WD,Normal,True,True,0.0,0.0,12.5,145,2,1,2.5,2.5,2.5,2.0,2006-09-01,12.641096555879882
RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,PConc,No,Unf,Unf,1097,GasA,3,Y,SBrkr,1097,1,TA,Typ,0,0,Attchd,1995.0,Unf,2,672,Y,0,0,6,2009,WD,Normal,True,True,0.0,0.0,7.5,456,15,14,2.0,2.0,2.5,2.0,2009-06-01,11.884489021402711
RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,BrkFace,650.0,CBlock,No,Rec,Unf,84,GasA,3,Y,SBrkr,1297,1,TA,Typ,1,2,Attchd,1954.0,Fin,2,498,Y,0,0,10,2009,WD,Normal,True,True,0.9352351580570547,0.0,6.5,0,55,19,2.0,2.0,2.0,2.0,2009-10-01,11.938193200374572
RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,CBlock,No,GLQ,Unf,326,GasA,2,Y,SBrkr,1057,1,Gd,Typ,0,0,Detchd,1953.0,Unf,1,246,Y,0,0,1,2010,WD,Abnorml,True,True,0.6915799432355724,0.0,7.0,52,57,3,2.5,2.5,2.0,2.0,2010-01-01,11.59910316121128
RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,BrkFace,101.0,CBlock,No,Rec,Unf,445,GasA,3,Y,SBrkr,1324,1,TA,Typ,1,2,Attchd,1965.0,RFn,2,440,Y,0,0,12,2006,WD,Abnorml,True,True,0.5909926470588235,0.0,8.0,138,41,41,2.0,2.0,2.0,2.0,2006-12-01,11.982929094215963
RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,CBlock,Gd,BLQ,Unf,383,GasA,3,Y,SBrkr,1328,1,TA,Typ,2,3,Attchd,1959.0,RFn,1,308,P,0,0,7,2007,WD,Normal,True,True,0.7162962962962963,0.0,7.0,104,48,48,2.0,2.5,2.0,2.0,2007-07-01,12.043553716032399
RL,69.79733110925771,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,None,0.0,CBlock,Av,ALQ,LwQ,0,GasA,3,Y,SBrkr,884,1,Gd,Typ,0,0,Attchd,1983.0,RFn,2,504,Y,0,0,12,2007,WD,Normal,True,True,1.0,0.0,7.0,240,24,24,2.5,2.0,2.5,2.5,2007-12-01,11.877568578558138
RL,69.79733110925771,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,Hip,CompShg,VinylSd,None,0.0,CBlock,Av,LwQ,BLQ,167,GasA,2,Y,SBrkr,938,1,TA,Typ,0,0,Detchd,1977.0,Unf,1,308,Y,0,0,7,2008,WD,Normal,True,True,0.8219616204690832,0.0,7.0,145,33,28,2.0,2.0,2.5,2.0,2008-07-01,11.777210959615614
RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,BrkFace,None,0.0,CBlock,No,ALQ,BLQ,465,GasA,3,Y,FuseA,1150,1,TA,Typ,0,0,Attchd,1959.0,RFn,1,300,Y,0,0,5,2006,WD,Normal,True,False,0.5956521739130435,0.0,8.0,0,47,47,2.0,2.0,2.0,2.0,2006-05-01,11.856515169360305
RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,BrkFace,412.0,PConc,No,GLQ,Unf,1296,GasA,3,Y,SBrkr,1752,1,Ex,Typ,1,3,Attchd,2005.0,RFn,2,576,Y,0,0,2,2010,WD,Normal,True,True,0.2602739726027397,0.0,9.0,278,5,5,2.5,2.5,2.5,2.0,2010-02-01,12.675763725937609
RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,None,0.0,PConc,No,GLQ,Unf,83,GasA,3,Y,SBrkr,2149,1,Gd,Typ,1,3,Attchd,2003.0,RFn,2,670,Y,0,0,8,2009,WD,Abnorml,True,True,0.9421199442119944,0.0,8.5,409,6,6,2.5,2.5,2.5,2.0,2009-08-01,12.387085012375499
FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,PConc,Av,GLQ,Unf,1632,GasA,3,Y,SBrkr,1656,1,Gd,Typ,0,0,Attchd,2006.0,RFn,3,826,Y,0,0,7,2007,WD,Normal,True,True,0.014492753623188406,0.0,9.0,146,1,1,2.5,2.5,2.5,2.0,2007-07-01,12.428015476267865
RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,CompShg,HdBoard,None,0.0,CBlock,No,BLQ,Unf,192,GasA,3,Y,SBrkr,955,1,TA,Typ,0,0,Attchd,1966.0,Unf,1,386,Y,0,0,1,2007,WD,Normal,True,True,0.7989528795811518,0.0,8.0,0,41,41,2.5,2.0,2.0,2.0,2007-01-01,11.751942365440728
RL,69.79733110925771,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,Gable,CompShg,VinylSd,None,0.0,PConc,Av,GLQ,Unf,612,GasA,3,Y,SBrkr,1470,1,TA,Typ,0,0,Attchd,1997.0,Fin,2,388,Y,0,0,7,2007,WD,Normal,True,True,0.22921914357682618,0.0,8.5,75,10,10,2.0,2.0,2.5,2.0,2007-07-01,12.083905011555967
RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,None,0.0,PConc,No,Unf,Unf,816,GasA,2,Y,SBrkr,1176,1,TA,Typ,1,3,Detchd,1985.0,Unf,2,528,Y,0,400,9,2006,WD,Normal,True,True,0.0,0.4411764705882353,7.0,112,72,56,2.0,2.0,2.0,2.0,2006-09-01,11.648330101976432
RM,110.0,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,Gable,CompShg,Wd Sdng,None,0.0,CBlock,Gd,LwQ,GLQ,0,GasA,2,N,SBrkr,816,1,TA,Typ,0,0,CarPort,1963.0,Unf,2,516,Y,0,0,5,2010,WD,Normal,False,True,1.0,0.0,7.0,106,47,47,2.0,2.0,2.5,2.0,2010-05-01,11.608235644774552
RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,1Fam,1Story,Gable,WdShngl,WdShing,None,0.0,CBlock,Gd,GLQ,Unf,32,GasA,3,Y,SBrkr,1842,1,Gd,Typ,1,3,Attchd,1981.0,Fin,3,894,Y,0,0,11,2006,WD,Normal,True,False,0.9826275787187839,0.0,7.5,929,25,19,2.5,2.5,2.5,2.0,2006-11-01,12.86099861326992
RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,None,0.0,CBlock,No,ALQ,Unf,0,GasA,2,Y,SBrkr,1360,1,TA,Min1,1,2,Detchd,1962.0,Unf,2,572,Y,0,0,2,2007,WD,Normal,True,True,1.0,0.0,7.0,50,52,52,2.0,2.0,2.0,2.0,2007-02-01,11.77528972943772
RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,HdBoard,BrkFace,272.0,CBlock,No,BLQ,Unf,935,GasA,3,Y,SBrkr,1425,1,TA,Typ,1,3,Attchd,1964.0,RFn,2,576,Y,0,0,7,2008,WD,Normal,True,False,0.34385964912280703,0.0,9.0,407,44,44,2.0,2.0,2.0,2.0,2008-07-01,12.103486056755072
FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,BrkFace,456.0,PConc,No,GLQ,Unf,321,GasA,3,Y,SBrkr,1739,1,Gd,Typ,0,0,Attchd,1999.0,Fin,2,480,Y,0,0,8,2009,WD,Abnorml,True,True,0.6690721649484536,0.0,10.5,115,10,9,2.5,2.5,2.5,2.0,2009-08-01,12.058152515453552
RL,89.0,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,None,0.0,PConc,No,Unf,Unf,860,GasA,3,Y,SBrkr,1720,1,Gd,Typ,0,0,Attchd,2004.0,RFn,2,565,Y,0,0,8,2006,WD,Normal,True,True,0.0,0.0,9.5,70,2,2,2.5,2.5,2.5,2.0,2006-08-01,12.188417710291453
RL,66.0,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,Hip,CompShg,VinylSd,BrkFace,1031.0,PConc,Gd,Unf,Unf,1410,GasA,3,Y,SBrkr,2945,1,Gd,Typ,1,3,BuiltIn,2006.0,Fin,3,641,Y,0,0,10,2006,New,Partial,True,True,0.0,0.0,13.5,229,0,0,2.5,2.5,2.5,2.0,2006-10-01,12.991753427493052
RL,60.0,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,HdBoard,None,0.0,CBlock,Av,ALQ,Unf,148,GasA,3,Y,SBrkr,780,1,TA,Typ,0,0,Detchd,1973.0,Unf,1,352,Y,0,0,1,2008,WD,Normal,True,True,0.8102564102564103,0.0,5.0,196,36,36,2.5,2.0,2.0,2.0,2008-01-01,11.73526869611367
RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,Gable,CompShg,VinylSd,None,0.0,PConc,No,ALQ,Unf,217,GasA,3,Y,SBrkr,1158,1,Gd,Typ,0,0,Detchd,2006.0,Unf,2,576,Y,0,0,5,2006,New,Partial,False,True,0.812607944732297,0.0,7.5,50,2,2,2.0,2.0,2.5,2.0,2006-05-01,11.970350312009105
RM,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,None,0.0,BrkTil,No,Unf,Unf,530,GasA,2,N,SBrkr,1111,1,Fa,Typ,0,0,Detchd,1935.0,Unf,1,288,N,0,0,3,2007,WD,Normal,True,True,0.0,0.0,7.0,144,87,11,2.5,2.0,2.0,2.0,2007-03-01,11.522875795823397
